word,definition
YB,a unit of information equal to 1024 zebibytes or 2^80 bytes
YiB,a unit of information equal to 1024 zebibytes or 2^80 bytes
yottabyte,a unit of information equal to 1000 zettabytes or 10^24 bytes
YB,a unit of information equal to 1000 zettabytes or 10^24 bytes
yottabit,a unit of information equal to 1000 zettabits or 10^24 bits
Ybit,a unit of information equal to 1000 zettabits or 10^24 bits
Yb,a unit of information equal to 1000 zettabits or 10^24 bits
yobibit,a unit of information equal to 1024 zebibits or 2^80 bits
Yibit,a unit of information equal to 1024 zebibits or 2^80 bits
capacitance_unit,a measure of the capacity of a circuit component to store charge
charge_unit,a measure of the quantity of electricity (determined by the amount of an electric current and the time for which it flows)
quantity_unit,a measure of the quantity of electricity (determined by the amount of an electric current and the time for which it flows)
conductance_unit,a measure of a material's ability to conduct an electrical charge
current_unit,a measure of the amount of electric charge flowing past a circuit point at a specific time
elastance_unit,the reciprocal of capacitance
field_strength_unit,an electromagnetic unit of magnetic intensity
flux_density_unit,a measure of the amount of flux per unit of cross sectional area
flux_unit,a measure of the strength of a magnetic field per unit area
magnetic_flux_unit,a measure of the strength of a magnetic field per unit area
inductance_unit,a measure of the property of an electric circuit by which an electromotive force is induced in it
light_unit,a measure of the visible electromagnetic radiation
magnetomotive_force_unit,a unit of measurement of magnetomotive force
potential_unit,a measure of the potential energy of a unit charge at a given point in a circuit relative to a reference point (ground)
power_unit,a measure of electric power
radioactivity_unit,a measure of radioactivity
resistance_unit,the reciprocal of conductance
electrostatic_unit,any of various units of electricity based on forces of interaction between electric charges
picofarad,a unit of capacitance equal to one trillionth of a farad
microfarad,a unit of capacitance equal to one millionth of a farad
millifarad,a unit of capacitance equal to one thousandth of a farad
farad,the capacitance of a capacitor that has an equal and opposite charge of 1 coulomb on each plate and a voltage difference of 1 volt between the plates
F,the capacitance of a capacitor that has an equal and opposite charge of 1 coulomb on each plate and a voltage difference of 1 volt between the plates
abfarad,a capacitance unit equal to one billion farads
coulomb,a unit of electrical charge equal to the amount of charge transferred by a current of 1 ampere in 1 second
C,a unit of electrical charge equal to the amount of charge transferred by a current of 1 ampere in 1 second
ampere-second,a unit of electrical charge equal to the amount of charge transferred by a current of 1 ampere in 1 second
abcoulomb,a unit of electrical charge equal to 10 coulombs
ampere-minute,a unit of charge equal to 60 coulombs
ampere-hour,a unit of charge equal to 3600 coulombs
mho,a unit of conductance equal to the reciprocal of an ohm
siemens,a unit of conductance equal to the reciprocal of an ohm
reciprocal_ohm,a unit of conductance equal to the reciprocal of an ohm
S,a unit of conductance equal to the reciprocal of an ohm
ampere,the basic unit of electric current adopted under the Systeme International d'Unites
amp,the basic unit of electric current adopted under the Systeme International d'Unites
A,the basic unit of electric current adopted under the Systeme International d'Unites
milliampere,one thousandth of an ampere
mA,one thousandth of an ampere
abampere,a unit of current equal to 10 amperes
abamp,a unit of current equal to 10 amperes
ampere,a former unit of electric current (slightly smaller than the SI ampere)
international_ampere,a former unit of electric current (slightly smaller than the SI ampere)
daraf,a unit of elastance equal to the reciprocal of a farad
gamma,a unit of magnetic field strength equal to one-hundred-thousandth of an oersted
oersted,the magnetic field strength 1 cm from a unit magnetic pole
maxwell,a cgs unit of magnetic flux equal to the flux perpendicular to an area of 1 square centimeter in a magnetic field of 1 gauss
Mx,a cgs unit of magnetic flux equal to the flux perpendicular to an area of 1 square centimeter in a magnetic field of 1 gauss
weber,"a unit of magnetic flux equal to 100,000,000 maxwells"
Wb,"a unit of magnetic flux equal to 100,000,000 maxwells"
microgauss,a unit of magnetic flux density equal to one millionth of a gauss
gauss,a unit of magnetic flux density equal to 1 maxwell per square centimeter
tesla,a unit of magnetic flux density equal to one weber per square meter
abhenry,a unit of inductance equal to one billionth of a henry
millihenry,a unit of inductance equal to one thousandth of a henry
henry,a unit of inductance in which an induced electromotive force of one volt is produced when the current is varied at the rate of one ampere per second
H,a unit of inductance in which an induced electromotive force of one volt is produced when the current is varied at the rate of one ampere per second
illumination_unit,a measure of illumination
luminance_unit,a measure of luminance
luminous_flux_unit,a measure of luminous flux per unit area
luminous_intensity_unit,a measure of luminous intensity
candlepower_unit,a measure of luminous intensity
exposure,the intensity of light falling on a photographic film or plate
footcandle,a unit of illuminance on a surface that is everywhere 1 foot from a point source of 1 candle
lambert,a cgs unit of illumination equal to the brightness of a perfectly diffusing surface that emits or reflects one lumen per square centimeter
L,a cgs unit of illumination equal to the brightness of a perfectly diffusing surface that emits or reflects one lumen per square centimeter
lux,a unit of illumination equal to 1 lumen per square meter; 0.0929 foot candle
lx,a unit of illumination equal to 1 lumen per square meter; 0.0929 foot candle
phot,"a unit of illumination equal to 1 lumen per square centimeter; 10,000 phots equal 1 lux"
nit,a luminance unit equal to 1 candle per square meter measured perpendicular to the rays from the source
foot-lambert,a former luminance unit equal to one lumen per square foot
ft-L,a former luminance unit equal to one lumen per square foot
lumen,a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions
lm,a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions
candle,"the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin"
candela,"the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin"
cd,"the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin"
standard_candle,"the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin"
international_candle,a former international unit of luminous intensity; now replaced by the candela
gilbert,a unit of magnetomotive force equal to 0.7958 ampere-turns
Gb,a unit of magnetomotive force equal to 0.7958 ampere-turns
Gi,a unit of magnetomotive force equal to 0.7958 ampere-turns
ampere-turn,a unit of magnetomotive force equal to the magnetomotive force produced by the passage of 1 ampere through 1 complete turn of a coil; equal to 1.257 gilberts
magneton,a unit of magnetic moment of a molecular or atomic or subatomic particle
abvolt,a unit of potential equal to one-hundred-millionth of a volt
millivolt,a unit of potential equal to one thousandth of a volt
mV,a unit of potential equal to one thousandth of a volt
microvolt,a unit of potential equal to one millionth of a volt
nanovolt,a unit of potential equal to one billionth of a volt
picovolt,a unit of potential equal to one trillionth of a volt
femtovolt,a unit of potential equal to one quadrillionth of a volt (or one thousandth of a nanosecond)
volt,a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
V,a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
kilovolt,a unit of potential equal to a thousand volts
kV,a unit of potential equal to a thousand volts
rydberg,a wave number characteristic of the wave spectrum of each element
rydberg_constant,a wave number characteristic of the wave spectrum of each element
rydberg_unit,a wave number characteristic of the wave spectrum of each element
wave_number,the reciprocal of the wavelength of a wave
abwatt,a power unit equal to the power dissipated when 1 abampere flows across a potential difference of 1 abvolt (one ten-thousandth of a milliwatt)
milliwatt,a unit of power equal to one thousandth of a watt
watt,a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm
W,a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm
kilowatt,a unit of power equal to 1000 watts
kW,a unit of power equal to 1000 watts
megawatt,a unit of power equal to one million watts
horsepower,a unit of power equal to 746 watts
HP,a unit of power equal to 746 watts
H.P.,a unit of power equal to 746 watts
volt-ampere,a unit of electrical power in an AC circuit equal to the power dissipated when 1 volt produces a current of 1 ampere
var,a unit of electrical power in an AC circuit equal to the power dissipated when 1 volt produces a current of 1 ampere
kilovolt-ampere,a unit of electrical power equal to 1000 volt-amperes
millicurie,a unit of radioactivity equal to one thousandth of a curie
curie,"a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second"
Ci,"a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second"
gray,the SI unit of energy absorbed from ionizing radiation; equal to the absorption of one joule of radiation energy by one kilogram of matter; one gray equals 100 rad
Gy,the SI unit of energy absorbed from ionizing radiation; equal to the absorption of one joule of radiation energy by one kilogram of matter; one gray equals 100 rad
roentgen,a unit of radiation exposure; the dose of ionizing radiation that will produce 1 electrostatic unit of electricity in 1 cc of dry air
R,a unit of radiation exposure; the dose of ionizing radiation that will produce 1 electrostatic unit of electricity in 1 cc of dry air
rutherford,a unit strength of a radioactive source equal to one million disintegrations per second
REM,(Roentgen Equivalent Man) the dosage of ionizing radiation that will cause the same amount of injury to human tissue as 1 roentgen of X-rays
rad,a unit of absorbed ionizing radiation equal to 100 ergs per gram of irradiated material
abohm,a unit of resistance equal to a billionth of an ohm
ohm,a unit of electrical resistance equal to the resistance between two points on a conductor when a potential difference of one volt between them produces a current of one ampere
megohm,a unit of resistance equal to one million ohms
kiloton,a measure of explosive power (of an atomic weapon) equal to that of 1000 tons of TNT
megaton,a measure of explosive power (of an atomic weapon) equal to that of one million tons of TNT
dyne,a unit of force equal to the force that imparts an acceleration of 1 cm/sec/sec to a mass of 1 gram
newton,"a unit of force equal to the force that imparts an acceleration of 1 m/sec/sec to a mass of 1 kilogram; equal to 100,000 dynes"
N,"a unit of force equal to the force that imparts an acceleration of 1 m/sec/sec to a mass of 1 kilogram; equal to 100,000 dynes"
sthene,a unit of force equal to 1000 newtons
poundal,a unit of force equal to the force that imparts an acceleration of 1 foot/sec/sec to a mass of 1 pound; equal to 0.1382 newtons
pdl,a unit of force equal to the force that imparts an acceleration of 1 foot/sec/sec to a mass of 1 pound; equal to 0.1382 newtons
pound,a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec
lbf.,a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec
pounder,(used only in combination) something weighing a given number of pounds
g,a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated
gee,a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated
g-force,a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated
gal,a unit of gravitational acceleration equal to one centimeter per second per second (named after Galileo)
Beaufort_scale,a scale from 0 to 12 for the force of the wind
astronomy_unit,a linear unit used for astronomical distances
metric_linear_unit,a linear unit of distance in metric terms
nautical_linear_unit,a linear unit of distance used in navigation
inch,a unit of length equal to one twelfth of a foot
in,a unit of length equal to one twelfth of a foot
foot,a linear unit of length equal to 12 inches or a third of a yard
ft,a linear unit of length equal to 12 inches or a third of a yard
footer,(used only in combinations) the height or length of something in feet
yard,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
pace,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
yarder,(used only in combinations) the height or length of something in yards
perch,a linear measure of 16.5 feet
rod,a linear measure of 16.5 feet
pole,a linear measure of 16.5 feet
furlong,a unit of length equal to 220 yards
mile,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
statute_mile,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
stat_mi,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
land_mile,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
international_mile,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
mi,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
miler,(used only in combinations) the length of something in miles
half_mile,a unit of length equal to half of 1 mile
880_yards,a unit of length equal to half of 1 mile
quarter_mile,a unit of length equal to a quarter of 1 mile
440_yards,a unit of length equal to a quarter of 1 mile
league,an obsolete unit of distance of variable length (usually 3 miles)
ligne,a linear unit (1/40 inch) used to measure diameter of buttons
nail,a former unit of length for cloth equal to 1/16 of a yard
archine,a Russian unit of length (71 cm)
kos,(in India) a unit of length having different values in different localities
coss,(in India) a unit of length having different values in different localities
vara,a Spanish unit of length (about a yard) having different values in different localities
verst,a Russian unit of length (1.067 km)
cable,a nautical unit of depth
cable_length,a nautical unit of depth
cable's_length,a nautical unit of depth
chain,a unit of length
Gunter's_chain,a unit of length (22 yards)
engineer's_chain,a unit of length (100 ft)
cubit,an ancient unit of length based on the length of the forearm
finger,the length of breadth of a finger used as a linear measure
fingerbreadth,the length of breadth of a finger used as a linear measure
finger's_breadth,the length of breadth of a finger used as a linear measure
digit,the length of breadth of a finger used as a linear measure
fistmele,about seven inches; the breadth of a fist with the thumb stuck out (used especially in archery to give the correct distance of the string from the bow)
body_length,the length of your body
extremum,the most extreme possible amount or value
peak,the most extreme possible amount or value
hand,a unit of length equal to 4 inches; used in measuring horses
handbreadth,any unit of length based on the breadth of the human hand
handsbreadth,any unit of length based on the breadth of the human hand
head,the length or height based on the size of a human or animal head
lea,a unit of length of thread or yarn
li,Chinese distance measure; approximately 0.5 kilometers
link,a unit of length equal to 1/100 of a chain
mesh,the number of openings per linear inch of a screen; measures size of particles
mil,"a unit of length equal to one thousandth of an inch; used to specify thickness (e.g., of sheets or wire)"
mile,a Swedish unit of length equivalent to 10 km
mil,a Swedish unit of length equivalent to 10 km
Swedish_mile,a Swedish unit of length equivalent to 10 km
mile,an ancient Roman unit of length equivalent to 1620 yards
Roman_mile,an ancient Roman unit of length equivalent to 1620 yards
Roman_pace,an ancient Roman unit of length (4.85 English feet) measured as the distance from the heel of one foot to the heel of the same foot when next it touches the ground
geometric_pace,a modern version of the Roman pace now taken to be 5 feet
military_pace,the length of a single step in marching (taken to be 30 inches for quick time or 36 inches for double time)
palm,a linear unit based on the length or width of the human hand
span,a unit of length based on the width of the expanded human hand (usually taken as 9 inches)
survey_mile,a U.S. unit of measure equal to 1609.347 meters; derived from the use of 39.37 inches as the conversion for one meter
light_year,the distance that light travels in a vacuum in 1 year; 5.88 trillion miles or 9.46 trillion kilometers
light-year,the distance that light travels in a vacuum in 1 year; 5.88 trillion miles or 9.46 trillion kilometers
light_hour,the distance light travels in a vacuum in one hour; approximately one billion kilometers
light_minute,the distance light travels in a vacuum in one minute; approximately 18 million kilometers
light_second,"the distance light travels in a vacuum in one second; approximately 300,000 kilometers"
Astronomical_Unit,a unit of length used for distances within the solar system; equal to the mean distance between the Earth and the Sun (approximately 93 million miles or 150 million kilometers)
AU,a unit of length used for distances within the solar system; equal to the mean distance between the Earth and the Sun (approximately 93 million miles or 150 million kilometers)
parsec,a unit of astronomical length based on the distance from Earth at which stellar parallax is 1 second of arc; equivalent to 3.262 light years
secpar,a unit of astronomical length based on the distance from Earth at which stellar parallax is 1 second of arc; equivalent to 3.262 light years
femtometer,a metric unit of length equal to one quadrillionth of a meter
femtometre,a metric unit of length equal to one quadrillionth of a meter
fermi,a metric unit of length equal to one quadrillionth of a meter
picometer,a metric unit of length equal to one trillionth of a meter
picometre,a metric unit of length equal to one trillionth of a meter
micromicron,a metric unit of length equal to one trillionth of a meter
angstrom,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
angstrom_unit,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
A,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
nanometer,a metric unit of length equal to one billionth of a meter
nanometre,a metric unit of length equal to one billionth of a meter
nm,a metric unit of length equal to one billionth of a meter
millimicron,a metric unit of length equal to one billionth of a meter
micromillimeter,a metric unit of length equal to one billionth of a meter
micromillimetre,a metric unit of length equal to one billionth of a meter
micron,a metric unit of length equal to one millionth of a meter
micrometer,a metric unit of length equal to one millionth of a meter
millimeter,a metric unit of length equal to one thousandth of a meter
millimetre,a metric unit of length equal to one thousandth of a meter
mm,a metric unit of length equal to one thousandth of a meter
centimeter,a metric unit of length equal to one hundredth of a meter
centimetre,a metric unit of length equal to one hundredth of a meter
cm,a metric unit of length equal to one hundredth of a meter
decimeter,a metric unit of length equal to one tenth of a meter
decimetre,a metric unit of length equal to one tenth of a meter
dm,a metric unit of length equal to one tenth of a meter
meter,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
metre,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
m,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
decameter,a metric unit of length equal to ten meters
dekameter,a metric unit of length equal to ten meters
decametre,a metric unit of length equal to ten meters
dekametre,a metric unit of length equal to ten meters
dam,a metric unit of length equal to ten meters
dkm,a metric unit of length equal to ten meters
hectometer,a metric unit of length equal to 100 meters
hectometre,a metric unit of length equal to 100 meters
hm,a metric unit of length equal to 100 meters
kilometer,a metric unit of length equal to 1000 meters (or 0.621371 miles)
kilometre,a metric unit of length equal to 1000 meters (or 0.621371 miles)
km,a metric unit of length equal to 1000 meters (or 0.621371 miles)
klick,a metric unit of length equal to 1000 meters (or 0.621371 miles)
myriameter,"a metric unit of length equal to 10,000 meters"
myriametre,"a metric unit of length equal to 10,000 meters"
mym,"a metric unit of length equal to 10,000 meters"
nautical_chain,a nautical unit of length (15 ft)
fathom,a linear unit of measurement (equal to 6 feet) for water depth
fthm,a linear unit of measurement (equal to 6 feet) for water depth
nautical_mile,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
mile,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
mi,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
naut_mi,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
knot,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
international_nautical_mile,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
air_mile,"a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude"
nautical_mile,"a former British unit of length equivalent to 6,080 feet (1,853.184 meters); 800 feet longer than a statute mile"
naut_mi,"a former British unit of length equivalent to 6,080 feet (1,853.184 meters); 800 feet longer than a statute mile"
mile,"a former British unit of length equivalent to 6,080 feet (1,853.184 meters); 800 feet longer than a statute mile"
mi,"a former British unit of length equivalent to 6,080 feet (1,853.184 meters); 800 feet longer than a statute mile"
geographical_mile,"a former British unit of length equivalent to 6,080 feet (1,853.184 meters); 800 feet longer than a statute mile"
Admiralty_mile,"a former British unit of length equivalent to 6,080 feet (1,853.184 meters); 800 feet longer than a statute mile"
sea_mile,"a former British unit of length once used in navigation; equivalent to 6,000 feet (1828.8 meters)"
mile,"a former British unit of length once used in navigation; equivalent to 6,000 feet (1828.8 meters)"
halfpennyworth,the amount that can be bought for a halfpenny
ha'p'orth,the amount that can be bought for a halfpenny
pennyworth,the amount that can be bought for a penny
penn'orth,the amount that can be bought for a penny
dollar,the basic monetary unit in many countries; equal to 100 cents
euro,"the basic monetary unit of most members of the European Union (introduced in 1999); in 2002 twelve European nations (Germany, France, Belgium, Luxembourg, the Netherlands, Italy, Spain, Portugal, Ireland, Greece, Austria, Finland) adopted the euro as their basic unit of money and abandoned their traditional currencies"
franc,the basic monetary unit in many countries; equal to 100 centimes
fractional_monetary_unit,a monetary unit that is valued at a fraction (usually one hundredth) of the basic monetary unit
subunit,a monetary unit that is valued at a fraction (usually one hundredth) of the basic monetary unit
Afghan_monetary_unit,monetary unit in the Islamic State of Afghanistan
afghani,the basic unit of money in Afghanistan
pul,100 puls equal 1 afghani in Afghanistan
Argentine_monetary_unit,monetary unit in Argentina
austral,the basic unit of money in Argentina; equal to 100 centavos
Thai_monetary_unit,monetary unit in Thailand
baht,the basic unit of money in Thailand
tical,the basic unit of money in Thailand
satang,100 satangs equal 1 baht in Thailand
Panamanian_monetary_unit,monetary unit in Panama
balboa,the basic unit of money in Panama; equal to 100 centesimos
Ethiopian_monetary_unit,monetary unit in Ethiopia
birr,the basic unit of money in Ethiopia; equal to 100 cents
cent,a fractional monetary unit of several countries
centesimo,a fractional monetary unit of several countries: Panama and Italy and Uruguay and Chile
centimo,a fractional monetary unit of Venezuela and Costa Rica and Equatorial Guinea and Paraguay and Spain
centavo,a fractional monetary unit of several countries: El Salvador and Sao Tome and Principe and Brazil and Argentina and Bolivia and Colombia and Cuba and the Dominican Republic and Ecuador and El Salvador and Guatemala and Honduras and Mexico and Nicaragua and Peru and the Philippines and Portugal
centime,a fractional monetary unit of several countries: France and Algeria and Belgium and Burkina Faso and Burundi and Cameroon and Chad and the Congo and Gabon and Haiti and the Ivory Coast and Luxembourg and Mali and Morocco and Niger and Rwanda and Senegal and Switzerland and Togo
Venezuelan_monetary_unit,monetary unit of Venezuela
bolivar,the basic unit of money in Venezuela; equal to 100 centimos
Ghanian_monetary_unit,monetary unit of Ghana
cedi,the basic unit of money in Ghana
pesewa,100 pesewas equal 1 cedi in Ghana
Costa_Rican_monetary_unit,monetary unit in Costa Rica
colon,the basic unit of money in Costa Rica; equal to 100 centimos
Costa_Rican_colon,the basic unit of money in Costa Rica; equal to 100 centimos
El_Salvadoran_monetary_unit,monetary unit in El Salvador
colon,the basic unit of money in El Salvador; equal to 100 centavos
El_Salvadoran_colon,the basic unit of money in El Salvador; equal to 100 centavos
Brazilian_monetary_unit,monetary unit in Brazil
real,the basic unit of money in Brazil; equal to 100 centavos
Gambian_monetary_unit,monetary unit in Gambia
dalasi,the basic unit of money in Gambia
butut,100 bututs equal 1 dalasi in Gambia
butat,100 bututs equal 1 dalasi in Gambia
Algerian_monetary_unit,monetary unit in Algeria
Algerian_dinar,the basic unit of money in Algeria
dinar,the basic unit of money in Algeria
Algerian_centime,100 centimes equal 1 dinar in Algeria
Bahrainian_monetary_unit,monetary unit in Bahrain
Bahrain_dinar,"the basic unit of money in Bahrain; equal to 1,000 fils"
dinar,"the basic unit of money in Bahrain; equal to 1,000 fils"
fils,a fractional monetary unit in Bahrain and Iraq and Jordan and Kuwait; equal to one thousandth of a dinar
Iraqi_monetary_unit,monetary unit in Iraq
Iraqi_dinar,"the basic unit of money in Iraq; equal to 1,000 fils"
dinar,"the basic unit of money in Iraq; equal to 1,000 fils"
Jordanian_monetary_unit,monetary unit in Jordan
Jordanian_dinar,"the basic unit of money in Jordan; equal to 1,000 fils"
dinar,"the basic unit of money in Jordan; equal to 1,000 fils"
Kuwaiti_monetary_unit,monetary unit in Kuwait
Kuwaiti_dinar,"the basic unit of money in Kuwait; equal 1,000 fils"
dinar,"the basic unit of money in Kuwait; equal 1,000 fils"
Kuwaiti_dirham,worth one tenth of a Kuwaiti dinar; equal 100 fils
dirham,worth one tenth of a Kuwaiti dinar; equal 100 fils
Libyan_monetary_unit,monetary unit in Libya
Libyan_dinar,the basic unit of money in Libya
dinar,the basic unit of money in Libya
Libyan_dirham,100 dirhams equal 1 dinar in Libya
dirham,100 dirhams equal 1 dinar in Libya
Tunisian_monetary_unit,monetary unit in Tunisia
Tunisian_dinar,the basic unit of money in Tunisia
dinar,the basic unit of money in Tunisia
Tunisian_dirham,100 dirhams equal 1 dinar in Tunisia
dirham,100 dirhams equal 1 dinar in Tunisia
millime,"1,000 millimes equal 1 dinar in Tunisia"
Yugoslavian_monetary_unit,monetary unit in Yugoslavia
Yugoslavian_dinar,the basic unit of money in Yugoslavia
dinar,the basic unit of money in Yugoslavia
para,100 para equal 1 dinar in Yugoslavia
Moroccan_monetary_unit,monetary unit in Morocco
Moroccan_dirham,the basic unit of money in Morocco; equal to 100 centimes
dirham,the basic unit of money in Morocco; equal to 100 centimes
United_Arab_Emirate_monetary_unit,monetary unit in the United Arab Emirates
United_Arab_Emirate_dirham,"the basic unit of money in the United Arab Emirates; equal to 1,000 fils"
dirham,"the basic unit of money in the United Arab Emirates; equal to 1,000 fils"
Australian_dollar,the basic unit of money in Australia and Nauru
Bahamian_dollar,the basic unit of money in the Bahamas
Barbados_dollar,the basic unit of money in Barbados
Belize_dollar,the basic unit of money in Belize
Bermuda_dollar,the basic unit of money in Bermuda
Brunei_dollar,the basic unit of money in Brunei
sen,a fractional monetary unit of Japan and Indonesia and Cambodia; equal to one hundredth of a yen or rupiah or riel
Canadian_dollar,the basic unit of money in Canada
loonie,the basic unit of money in Canada
Cayman_Islands_dollar,the basic unit of money in the Cayman Islands
Dominican_dollar,the basic unit of money in Dominica
Fiji_dollar,the basic unit of money in Fiji
Grenada_dollar,the basic unit of money in Grenada
Guyana_dollar,the basic unit of money in Guyana
Hong_Kong_dollar,the basic unit of money in Hong Kong
Jamaican_dollar,the basic unit of money in Jamaica
Kiribati_dollar,the basic unit of money in Kiribati
Liberian_dollar,the basic unit of money in Liberia
New_Zealand_dollar,the basic unit of money in New Zealand
Singapore_dollar,the basic unit of money in Singapore
Taiwan_dollar,the basic unit of money in Taiwan
Trinidad_and_Tobago_dollar,the basic unit of money in Trinidad and Tobago
Tuvalu_dollar,the basic unit of money in Tuvalu
United_States_dollar,the basic unit of money in the United States
Eurodollar,a United States dollar deposited in a European bank and used as an international currency to finance trade
Zimbabwean_dollar,the basic unit of money in Zimbabwe
Vietnamese_monetary_unit,monetary unit in Vietnam
dong,the basic unit of money in Vietnam
hao,10 hao equal 1 dong in Vietnam
Greek_monetary_unit,monetary unit in Greece
drachma,formerly the basic unit of money in Greece
Greek_drachma,formerly the basic unit of money in Greece
lepton,100 lepta equal 1 drachma in Greece
Sao_Thome_e_Principe_monetary_unit,monetary unit on Sao Tome e Principe
dobra,the basic unit of money on Sao Tome e Principe
Cape_Verde_monetary_unit,monetary unit on Cape Verde
Cape_Verde_escudo,the basic unit of money on Cape Verde; equal to 100 centavos
escudo,the basic unit of money on Cape Verde; equal to 100 centavos
Portuguese_monetary_unit,monetary unit in Portugal
Portuguese_escudo,formerly the basic monetary unit of Portugal; equal to 100 centavo
escudo,formerly the basic monetary unit of Portugal; equal to 100 centavo
conto,"1 conto equals 1,000 escudos in Portugal"
Hungarian_monetary_unit,monetary unit in Hungary
forint,the basic unit of money in Hungary
filler,100 filler equal 1 forint in Hungary
pengo,formerly the basic unit of money in Hungary until it was replaced by the forint in 1946
Belgian_franc,formerly the basic unit of money in Belgium
Benin_franc,the basic unit of money in Benin
Burundi_franc,the basic unit of money in Burundi
Cameroon_franc,the basic unit of money in Cameroon
Central_African_Republic_franc,the basic unit of money in the Central African Republic
Chadian_franc,the basic unit of money in Chad
Congo_franc,the basic unit of money in the Congo
Djibouti_franc,the basic unit of money in Djibouti
French_franc,formerly the basic unit of money in France
Gabon_franc,the basic unit of money in Gabon
Ivory_Coast_franc,the basic unit of money in the Ivory Coast
Cote_d'Ivoire_franc,the basic unit of money in the Ivory Coast
Luxembourg_franc,formerly the basic unit of money in Luxembourg
Madagascar_franc,the basic unit of money in Madagascar
Mali_franc,the basic unit of money in Mali
Niger_franc,the basic unit of money in Niger
Rwanda_franc,the basic unit of money in Rwanda
Senegalese_franc,the basic unit of money in Senegal
Swiss_franc,the basic unit of money in Switzerland
Togo_franc,the basic unit of money in Togo
Burkina_Faso_franc,the basic unit of money in Burkina Faso
Haitian_monetary_unit,the monetary unit in Haiti
gourde,the basic unit of money in Haiti
Haitian_centime,100 centimes equal 1 gourde in Haiti
Paraguayan_monetary_unit,monetary unit in Paraguay
guarani,the basic unit of money in Paraguay; equal to 100 centimos
Dutch_monetary_unit,monetary unit in the Netherlands
guilder,formerly the basic unit of money in the Netherlands; equal to 100 cents
