word,definition
carrying_out,the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
carrying_into_action,the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
specific_performance,the performance of a legal contract as specified by its terms
linguistic_performance,"(linguistics) a speaker's actual use of language in real situations; what the speaker actually says, including grammatical errors and other non-linguistic features such as hesitations and other disfluencies (contrasted with linguistic competence)"
mechanism,the technical aspects of doing something
mechanics,the technical aspects of doing something
service,the performance of duties by a waiter or servant
curb_service,service provided to customers who remain in their vehicles
self-service,the practice of serving yourself (as in a grocery or cafeteria)
valet_parking,a service provided (at a club or restaurant or airport etc.) whereby a patron leaves a car at the entrance and an attendant parks and retrieves it
dramatic_production,the act of performing a drama
dramatic_performance,the act of performing a drama
encore,an extra or repeated performance; usually given in response to audience demand
extemporization,a performance given extempore without planning or preparation
extemporisation,a performance given extempore without planning or preparation
improvisation,a performance given extempore without planning or preparation
juggle,throwing and catching several objects simultaneously
juggling,throwing and catching several objects simultaneously
magic_trick,an illusory feat; considered magical by naive observers
